상표명,세균제위험,곰팡이제위험,계열,일반명
젠토캡,🟡,🟡,살선충제,Ethoprophos
젠토팜,🟢,🟡,CAA(난균),Dimethomorph
젠토풀나지마,🟡,🟡,제초제,Pendimethalin
젠토풀제거,🟡,🟡,제초제,Metolachlor
젠토해드림,🟢,🟡,신호전달(페닐피롤·디카르복시미드),Fludioxonil
젠토해드림골드,🟢,🟡,신호전달(페닐피롤·디카르복시미드),Fludioxonil
젠토후론트,🟡,🟡,호흡저해,Fluazinam
젬프로,🟡,🟡,호흡저해,Ametoctradin+Dimethomorph
조아라,🟡,🟡,제초제,Bensulfuron-methyl+Benzobicyclon+Fentrazamide
조은들,🟡,🟡,제초제,Azimsulfuron+Indanofan
존플러스,🟡,🟡,제초제,Flucetosulfuron
종지부,🟡,🟡,제초제,Metazosulfuron
주먹탄,🟡,🟡,제초제,Halosulfuron-methyl+Pyriminobac-methyl
주인장,🟡,🟡,제초제,Azimsulfuron+Mefenacet+Simetryn
줌머,🟡,🟡,제초제,Glyphosate-isopropylammonium+Oxyfluorfen
중기스타,🟡,🟡,제초제,Fenquinotrione+Penoxsulam
중중후기,🟡,🟡,제초제,Florpyrauxifen-benzyl+Tefuryltrione
지름길,🟡,🟡,제초제,Bromobutide+Imazosulfuron+Mefenacet
지모신,🟡,🟡,제초제,Glyphosate-monoammonium
지심왕,🟡,🟡,제초제,Glyphosate-isopropylammonium
지초왕,🟡,🟡,제초제,Halosulfuron-methyl+Mefenacet+Pyriminobac-methyl
지퍼,🟡,🟡,제초제,Glufosinate-ammonium
직사포,🟡,🟡,제초제,Pyraclonil+Pyrimisulfan
직파스타,🟡,🟡,제초제,Pyriminobac-methyl+Tefuryltrione
직파탄,🟡,🟡,제초제,Pyraxolate+Pyrazosulfuron-ethyl+Simetryn
진돗개,🟡,🟡,제초제,Tefuryltrione
집중타,🟡,🟡,다점접촉(클로로탈로닐),Chlorothalonil
쩌렁쩌렁,🟡,🟡,제초제,S-metolachlor
차무로,🟡,🟡,CAA(난균),Benthiavalicarb-isopropyl+Chlorothalonil
차퍼,🟡,🟡,제초제,Imazapyr
참들,🟡,🟡,기타 유사분열저해,Ethaboxam
참일꾼,🟡,🟡,제초제,Pyraxolate
천군만마,🟡,🟡,제초제,Fenquinotrione+Florpyrauxifen-benzyl+Tetflupyrolimet
천년만년,🟡,🟡,제초제,Benzobicyclon+Penoxsulam+Pyraclonil
천지창조,🟡,🟡,제초제,Benzobicyclon+Cyclosulfamuron+Penoxsulam
천하대왕,🟡,🟡,제초제,Benfuresate+MCPA+Penoxsulam
천하무초,🟡,🟡,제초제,Bensulfuron-methyl+Benzobicyclon+Mefenacet
천하센,🟡,🟡,제초제,Bromobutide+Flucetosulfuron+Imazosulfuron
천하제일,🟡,🟡,제초제,Fluroxypyr-meptyl.MCPA
천하태평,🟡,🟡,제초제,Benzobicyclon+Fentrazamide+Penoxsulam
철벽방어,🟡,🟡,기타 유사분열저해,Fluopicolide+Iprovalicarb
철벽수비,🟡,🟡,살선충제,Benfuracarb+Fosthiazate
청룡도,🟡,🟡,제초제,Mefenacet+Pyrimisulfan
청정들,🟡,🟡,제초제,Benzobicyclon+Florpyrauxifen-benzyl+Flucetosulfuron
청풍명월,🟢,🟡,신호전달(페닐피롤·디카르복시미드),Fludioxonil
초간편,🟡,🟡,제초제,S-metolachlor
초강자,🟡,🟡,제초제,Bentazone-sodium
초고수,🟡,🟡,제초제,Bromobutide.Fenoxasulfone.Propyrisulfuron
초그만,🟢,🟡,신호전달(페닐피롤·디카르복시미드),Procymidone
초다타,🟡,🟡,제초제,Glufosinate-ammonium
초대박,🟡,🟡,제초제,Bensulfuron-methyl+Mefenacet+Pretilachlor
초병,🟡,🟡,제초제,Mecoprop-P
초보매,🟡,🟡,제초제,Benzobicyclon+Pretilachlor
초사리,🟡,🟡,제초제,Pentoxazone
초스타,🟡,🟡,제초제,Fenquinotrione+Pyrazosulfuron-ethyl+Tetflupyrolimet
초스탑,🟡,🟡,제초제,Benzobicyclon+Thiobencarb
초심,🟡,🟡,제초제,Imazosulfuron+Penoxsulam
초애신,🟡,🟡,제초제,Glyphosate-isopropylammonium
초우크,🟡,🟡,다점접촉(클로로탈로닐),Chlorothalonil
초전사,🟡,🟡,제초제,Glufosinate-ammonium
초집중,🟡,🟡,제초제,Benzobicyclon.Oxaziclomefone.Pyrazosulfuron-ethyl
초짱,🟡,🟡,제초제,Clomazone+Fentrazamide
초크린,🟡,🟡,제초제,Thiobencarb
초킬왕,🟡,🟡,제초제,Benzobicyclon+Imazosulfuron+Mefenacet
초토화,🟡,🟡,제초제,Glyphosate-isopropylammonium+Oxyfluorfen
초푸레,🟡,🟡,제초제,Bromobutide+Pretilachlor+Simetryn
축포,🟡,🟡,제초제,Azimsulfuron+Carfentrazone-ethyl+Pyriminobac-methyl
충에센,🟡,🟡,살선충제,Ethoprophos
치트키,🟡,🟡,제초제,Pentoxazone+Pretilachlor+Pyrazosulfuron-ethyl
카니발,🟡,🟡,미분류(살균제·보수),Cymoxanil+Zoxamide
카라풀,🟡,🟡,제초제,Glyphosate-isopropylammonium
카메나,🟢,🟡,멜라닌합성저해,Carpropamid+Imidacloprid
카소론,🟡,🟡,제초제,Dichlobenil
카운실,🟡,🟡,제초제,Tefuryltrione+Triafamone
카운타,🟡,🟡,살선충제,Terbufos
카이저,🟡,🟡,제초제,Dichlobenil+Imazaquin
캐치풀,🟡,🟡,제초제,Isoxaben
캔트린델타,🟡,🟡,제초제,Bentazone
커버스,🟢,🟡,QiI(난균),Cyazofamid+Oxathiapiprolin
커빅스디,🟡,🟡,제초제,Iodosulfuron
커튼,🟡,🟡,QiI(난균),Amisulbrom+Cymoxanil
커티스,🟢,🟡,페닐아마이드,Metalaxyl
컨클루드,🟡,🟡,제초제,Flupoxam
컷오프,🟡,🟡,제초제,Glufosinate-ammonium+S-metolachlor
케이글라신,🟡,🟡,제초제,Glyphosate-isopropylammonium
케이펜디,🟡,🟡,제초제,Pendimethalin
코너킥,🟡,🟡,제초제,Fenquinotrione+Propyrisulfuron
코드업,🟢,🟡,QiI(난균),Cyazofamid
코스온,🟡,🟡,제초제,Pyroxasulfone.Simazine
콜렉트,🟡,🟡,제초제,Fenoxaprop-P-ethyl
콤비스타,🟢,🟡,멜라닌합성저해,Tricyclazole+Clothianidin
콩맨드,🟡,🟡,제초제,Clomazone
콩알탄,🟡,🟡,제초제,Benzobicyclon+Cyclosulfamuron+Flucetosulfuron
콩풀,🟡,🟡,제초제,Fenoxaprop-P-ethyl
쾌속정,🟡,🟡,제초제,Benzobicyclon+Carfentrazone-ethyl+Penoxsulam
쾌속정골드,🟡,🟡,제초제,Benzobicyclon+Carfentrazone-ethyl+Penoxsulam
쿠무러스,🟡,🟡,무기황,Sulfur
쿠페,🟢,🟡,신호전달(페닐피롤·디카르복시미드),Fludioxonil
쿼터백,🟡,🟡,제초제,Fluroxypyr-meptyl
퀵스타,🟡,🟡,제초제,Glufosinate-ammonium.MCPA
퀵스탑,🟡,🟡,제초제,Glufosinate-ammonium+MCPA
퀸텍,🟡,🟡,미분류(살균제·보수),Picarbutrazox
큐스타,🟡,🟡,제초제,Glufosinate-ammonium
크리논,🟡,🟡,제초제,Bromobutide+Imazosulfuron+Penoxsulam
크린샷,🟡,🟡,제초제,Pyribenzoxim
크린처,🟡,🟡,제초제,Cyhalofop-butyl
크린힛,🟡,🟡,페닐아마이드,Chlorothalonil+Oxadixyl
큰살림,🟡,🟡,호흡저해,Fluazinam
클리어,🟡,🟡,제초제,Bifenox+Flucetosulfuron
클릭초,🟡,🟡,제초제,Azimsulfuron+Benzobicyclon+Fentrazamide
키로하나,🟡,🟡,제초제,Bensulfuron-methyl+Bromobutide+Fentrazamide
키리졸브,🟢,🟡,페닐아마이드,Metalaxyl
키타,🟡,🟡,제초제,Triclopyr-TEA
킬러문,🟡,🟡,기타 유사분열저해,Pencycuron
킬스타,🟡,🟡,제초제,Bromobutide+Oxadiargyl
킹센스,🟢,🟡,신호전달(페닐피롤·디카르복시미드),Fludioxonil
타드닐,🟡,🟡,다점접촉(클로로탈로닐),Chlorothalonil
타랑,🟡,🟡,제초제,Glufosinate-ammonium
타로닐,🟡,🟡,다점접촉(클로로탈로닐),Chlorothalonil
타비지,🟡,🟡,제초제,Fenquinotrione+Pyrazosulfuron-ethyl+Tetflupyrolimet
타타타,🟡,🟡,제초제,Glufosinate-p
탄성,🟢,🟡,페닐아마이드,Hymexazol+Metalaxyl
탄저도사,🟡,🟡,다점접촉(클로로탈로닐),Chlorothalonil+Dithianon
탈렌트,🟡,🟡,구아니딘,Iminoctadine tris(albesilate)
탐실,🟡,🟡,아미노산합성저해(AP),Chlorothalonil+Pyrimethanil
탐지기,🟡,🟡,신호전달(페닐피롤·디카르복시미드),Fludioxonil+Iminoctadine triacetate
탑건,🟡,🟡,제초제,Prodiamine
탑라인,🟡,🟡,다점접촉(클로로탈로닐),Chlorothalonil
태양왕,🟡,🟡,제초제,Azimsulfuron+Carfentrazone-ethyl
탬파,🟡,🟡,발리다마이신,Validamycin A
터치다운아이큐,🟡,🟡,제초제,Glyphosate-potassium
터프가이,🟡,🟡,제초제,Flazasulfuron+Oryzalin
터프너스,🟡,🟡,제초제,Pyroxasulfone
터프엔,🟡,🟡,제초제,Fenoxasulfone
터프큐어,🟡,🟡,제초제,Cinmethylin+Dimethenamid-P
터프킹,🟡,🟡,제초제,Azimsulfuron+Carfentrazone-ethyl+Flucetosulfuron
테너시티,🟡,🟡,제초제,Mesotrione
테라글라신,🟡,🟡,제초제,Glyphosate-isopropylammonium
테라도,🟡,🟡,제초제,Tiafenacil
테라도골드,🟡,🟡,제초제,Glufosinate-ammonium+Tiafenacil
테라도플러스,🟡,🟡,제초제,Glyphosate-isopropylammonium+Tiafenacil
테이크업,🟢,🟡,신호전달(페닐피롤·디카르복시미드),Fludioxonil
텔루스,🟡,🟡,기타 유사분열저해,Ethaboxam
텔벡,🟢,🟡,QiI(난균),Florylpicoxamid
토광,🟡,🟡,제초제,Glufosinate-ammonium
토북이,🟡,🟡,제초제,Carfentrazone-ethyl+Glyphosate-isopropylammonium
토양충평정,🟡,🟡,살선충제,Ethoprophos+Fipronil
토양탄,🟡,🟡,살선충제,Terbufos
토지탄,🟡,🟡,살선충제,Phorate+Terbufos
토충탄,🟡,🟡,살선충제,Cadusafos+Imidacloprid
톤앞,🟡,🟡,제초제,Imazaquin
톨피라,🟡,🟡,제초제,Tolpyralate
톱스타,🟡,🟡,제초제,Oxadiargyl
통제사,🟡,🟡,제초제,Azimsulfuron+Benzobicyclon+Pyriminobac-methyl
투샷,🟡,🟡,미분류(살균제·보수),Ferimzone+Pencycuron
투쎈,🟡,🟡,제초제,Glufosinate-ammonium
투척왕,🟡,🟡,제초제,Fenquinotrione+Pyrazosulfuron-ethyl+Pyriminobac-methyl
투텔라,🟢,🟡,신호전달(페닐피롤·디카르복시미드),Fludioxonil
트랙스타,🟡,🟡,제초제,Bromobutide+Oxadiazon
트레이온,🟢,🟡,QiI(난균),Amisulbrom+Dinotefuran
트레피니티,🟡,🟡,호흡저해,Cyclobutrifluram
트리로그,🟡,🟡,무기황,Sulfur
트리부닐,🟡,🟡,제초제,Methabenzthiazuron
트리뷰트,🟡,🟡,제초제,Foramsulfuron
트리졸빈,🟢,🟡,멜라닌합성저해,Tricyclazole
특효탄,🟡,🟡,제초제,Imazosulfuron+Pyraxolate+Simetryn
티나골드,🟡,🟡,제초제,Glufosinate-ammonium+Tiafenacil
티나프로,🟡,🟡,제초제,Glyphosate-isopropylammonium+Tiafenacil
티아스타,🟡,🟡,제초제,Glufosinate-ammonium
티오피,🟡,🟡,제초제,Glyphosate-monoammonium
파란들,🟡,🟡,제초제,Flazasulfuron
파란들플러스,🟡,🟡,제초제,Flazasulfuron+MCPA
파레트,🟡,🟡,제초제,Pyridate
파미놀,🟡,🟡,제초제,Napropamide
파숫꾼,🟡,🟡,제초제,Benzobicyclon+Orthosulfamuron+Penoxsulam
파워리놀,🟡,🟡,제초제,Napropamide
파워초,🟡,🟡,제초제,Bromobutide+Pyraclonil
파워크린,🟡,🟡,살선충제,Cadusafos+Clothianidin
파워탱크,🟡,🟡,제초제,Benzobicyclon+Imazosulfuron+Metamifop
파인더,🟢,🟡,QiI(난균),Cyazofamid
파크란,🟢,🟡,QiI(난균),Cyazofamid+Fluoxapiprolin
파트너,🟡,🟡,제초제,Linuron+Pendimethalin
판정승,🟡,🟡,제초제,Bensulfuron-methyl+Mefenacet+Metamifop
팜가드,🟡,🟡,제초제,MCPA
팜한농다찌가렌,🟢,🟡,페닐아마이드,Hymexazol
팜한농디치,🟡,🟡,다점접촉(디티아논),Dithianon
팜한농바리신,🟡,🟡,발리다마이신,Validamycin A
팜한농캡탄,🟡,🟡,다점접촉(캡탄),Captan
팜한농파미드,🟡,🟡,제초제,Napropamide
팡이가드,🟢,🟡,신호전달(페닐피롤·디카르복시미드),Fludioxonil
팡이캇트,🟡,🟡,QiI(난균),Chlorothalonil+Cyazofamid
팡이큐,🟢,🟡,신호전달(페닐피롤·디카르복시미드),Procymidone
팡이탄,🟢,🟡,신호전달(페닐피롤·디카르복시미드),Procymidone
팡자비,🟢,🟡,신호전달(페닐피롤·디카르복시미드),Procymidone
팡청소,🟢,🟡,신호전달(페닐피롤·디카르복시미드),Procymidone
팡파르,🟢,🟡,아미노산합성저해(AP),Mepanipyrim
패스아웃,🟡,🟡,제초제,Glyphosate-isopropylammonium+MCPA
페넌트 매그넘,🟡,🟡,제초제,S-metolachlor
페임씨,🟢,🟡,신호전달(페닐피롤·디카르복시미드),Fludioxonil
펜디,🟡,🟡,제초제,Pendimethalin
펜디스타,🟡,🟡,제초제,Pendimethalin
펜타킬,🟡,🟡,제초제,Bentazone
펴나네,🟡,🟡,제초제,Azimsulfuron+Bromobutide+Pyriminobac-methyl
평양감사,🟡,🟡,제초제,Bromobutide+Fentrazamide+Halosulfuron-methyl
포루밀,🟢,🟡,CAA(난균),Dimethomorph+Metalaxyl-M
포룸,🟢,🟡,CAA(난균),Dimethomorph
포룸디,🟡,🟡,CAA(난균),Dimethomorph+Dithianon
포스킬,🟡,🟡,살선충제,Diazinon+Terbufos
포아골드,🟡,🟡,제초제,Cinmethylin+Penoxsulam
포아그라스,🟡,🟡,제초제,Ethofumesate
포아박사,🟡,🟡,제초제,Methiozolin
포지션,🟢,🟡,멜라닌합성저해,Tricyclazole+Benfuracarb
포카드,🟢,🟡,QiI(난균),Cyazofamid
폴리오골드,🟡,🟡,페닐아마이드,Chlorothalonil+Metalaxyl-M
표나네,🟡,🟡,제초제,Triafamone
표시나,🟡,🟡,제초제,Metolachlor+Napropamide
푸레다,🟡,🟡,제초제,MCPA
푸레만,🟡,🟡,제초제,Fenoxaprop-P-ethyl
푸레스타,🟡,🟡,제초제,Glyphosate-isopropylammonium+Saflufenacil
푸레싹,🟡,🟡,제초제,Pendimethalin
푸레왕,🟡,🟡,제초제,Azimsulfuron+Benzobicyclon+Oxaziclomefone
푸레원글라신,🟡,🟡,제초제,Glyphosate-isopropylammonium
푸레제일,🟡,🟡,제초제,Glyphosate-isopropylammonium
푸레처,🟡,🟡,제초제,Glufosinate-P
푸레캅,🟡,🟡,제초제,Fenquinotrione+Imazosulfuron+Pyriminobac-methyl
푸레탑쎈,🟡,🟡,제초제,Glyphosate-monoammonium
푸레픽,🟡,🟡,제초제,Fenoxaprop-P-ethyl
푸로레,🟡,🟡,제초제,Fenoxaprop-P-ethyl
푸르메,🟡,🟡,제초제,Napropamide+Oxyfluorfen
푸른논,🟡,🟡,제초제,Fentrazamide+Metazosulfuron
푸름네,🟡,🟡,제초제,Bensulfuron-methyl+Mefenacet
푸리타,🟡,🟡,제초제,Glufosinate-ammonium
풀경비,🟡,🟡,제초제,Fenoxasulfone+Pyrimisulfan
풀그만,🟡,🟡,제초제,Glyphosate-monoammonium
풀나지마,🟡,🟡,제초제,Pendimethalin
풀난타,🟡,🟡,제초제,Glyphosate-isopropylammonium+Mecoprop-P
풀노우,🟡,🟡,제초제,Fentrazamide
풀다벤·이티,🟡,🟡,제초제,Benzobicyclon+Penoxsulam+Pyrazosulfuron-ethyl
풀다이,🟡,🟡,제초제,Glyphosate-isopropylammonium+Triclopyr-TEA
풀단속,🟡,🟡,제초제,Cyclosulfamuron+Pendimethalin
풀당번,🟡,🟡,제초제,Azimsulfuron+Bensulfuron-methyl+Fentrazamide
풀대장,🟡,🟡,제초제,Azimsulfuron+Benzobicyclon+Metamifop+Pretilachlor
풀도사,🟡,🟡,제초제,Indanofan+Pyrazosulfuron-ethyl
풀뚝,🟡,🟡,제초제,Bromobutide+Pyrimisulfan
풀마름,🟡,🟡,제초제,Bentazone-sodium+Glufosinate-ammonium
풀마침,🟡,🟡,제초제,Carfentrazone-ethyl+Cyclosulfamuron+Pyriminobac-methyl
풀마크,🟡,🟡,제초제,Oxyfluorfen
풀마타,🟡,🟡,제초제,Glyphosate-isopropylammonium
풀망치,🟡,🟡,제초제,Bentazone
풀멸,🟡,🟡,제초제,Glyphosate-monoammonium
풀명장,🟡,🟡,제초제,Fluazifop-P-butyl
풀모리,🟡,🟡,제초제,Bromobutide+Fentrazamide+Pyrazosulfuron-ethyl
풀박사,🟡,🟡,제초제,Esprocarb+Pyrazosulfuron-ethyl
풀방패,🟡,🟡,제초제,Mecoprop-P+Metamifop
풀배팅,🟡,🟡,제초제,Glyphosate-isopropylammonium.MCPA
풀뱅,🟡,🟡,제초제,Glyphosate-isopropylammonium+MCPA
풀베스타,🟡,🟡,제초제,Glufosinate-ammonium
풀벤,🟡,🟡,제초제,Bentazone-sodium+Glyphosate-isopropylammonium
풀사냥,🟡,🟡,제초제,Metamifop+Pyrazosulfuron-ethyl
풀샷,🟡,🟡,제초제,Glyphosate-isopropylammonium+MCPA
풀샷에스,🟡,🟡,제초제,Glyphosate-isopropylammonium+MCPA
풀세탁,🟡,🟡,제초제,Fenoxasulfone+Fenquinotrione+Imazosulfuron
풀손,🟡,🟡,제초제,Alachlor+Pendimethalin
풀수색,🟡,🟡,제초제,Bensulfuron-methyl+Benzobicyclon+Fentrazamide
풀수색플러스,🟡,🟡,제초제,Bensulfuron-methyl+Benzobicyclon+Fentrazamide
풀수제비,🟡,🟡,제초제,Bensulfuron-methyl+Oxaziclomefone+Tefuryltrione
풀스원,🟡,🟡,제초제,Glyphosate-isopropylammonium.MCPA
풀쎈,🟡,🟡,제초제,Glyphosate-isopropylammonium
풀아웃,🟡,🟡,제초제,Mefenacet+Pyrimisulfan
풀액션,🟡,🟡,제초제,Glufosinate-ammonium
풀앤짱,🟡,🟡,제초제,Glufosinate-ammonium
풀앤콜,🟡,🟡,제초제,Cafenstrole+Pyrazosulfuron-ethyl
풀약,🟡,🟡,제초제,Glufosinate-ammonium+Triclopyr-TEA
풀엎,🟡,🟡,제초제,Pyrazosulfuron-ethyl
풀에끝,🟡,🟡,제초제,Cyhalofop-butyl
풀에신,🟡,🟡,제초제,S-metolachlor
풀에이스,🟡,🟡,제초제,Azimsulfuron+Penoxsulam
풀오버,🟡,🟡,제초제,Glyphosate-isopropylammonium
풀옵션,🟡,🟡,제초제,Metolachlor+Napropamide
풀은퇴,🟡,🟡,제초제,Glyphosate-monoammonium
풀이저,🟡,🟡,제초제,Glyphosate-monoammonium
풀전쟁,🟡,🟡,제초제,Glyphosate-isopropylammonium+MCPA
풀제로,🟡,🟡,제초제,Glufosinate-ammonium
풀지우개,🟡,🟡,제초제,Glufosinate-ammonium
풀처리,🟡,🟡,제초제,Fentrazamide+Imazosulfuron
풀천왕,🟡,🟡,제초제,Benzobicyclon+Mefenacet+Penoxsulam
풀청정,🟡,🟡,제초제,Azimsulfuron+Benzobicyclon+Fenoxasulfone
풀체인지,🟡,🟡,제초제,Bromobutide+Propyrisulfuron
풀초상,🟡,🟡,제초제,Pretilachlor+Tefuryltrione
풀캇,🟡,🟡,제초제,Glufosinate-ammonium
풀코치,🟡,🟡,제초제,Benzobicyclon+Pyrimisulfan
풀클린,🟡,🟡,제초제,Flazasulfuron+Mecoprop
풀키퍼,🟡,🟡,제초제,Penoxsulam+Pyrazosulfuron-ethyl
풀킬,🟡,🟡,제초제,Oxadiargyl
풀타,🟡,🟡,제초제,Glyphosate-monoammonium
풀타그라,🟡,🟡,제초제,Glufosinate-ammonium+Mecoprop-P
풀타임,🟡,🟡,제초제,Flucetosulfuron+Pyrazosulfuron-ethyl
풀타파,🟡,🟡,제초제,Glufosinate-ammonium
풀턴,🟡,🟡,제초제,Glyphosate-isopropylammonium
풀파워,🟡,🟡,제초제,Glyphosate-isopropylammonium.MCPA
풀패스,🟡,🟡,제초제,Bromobutide+Imazosulfuron+Tetflupyrolimet
풀폭싹,🟡,🟡,제초제,Glyphosate-isopropylammonium+MCPA
풀헌터,🟡,🟡,제초제,Butachlor
품격,🟡,🟡,CAA(난균),Dimethomorph+Picarbutrazox
풍년지기,🟡,🟡,제초제,MCPA+Penoxsulam
풍년초,🟡,🟡,제초제,Clomazone+Pentoxazone
프레스토,🟡,🟡,제초제,Pretilachlor
프로블라드,🟡,🟡,미분류(살균제·보수),BLAD
프로비스타,🟡,🟡,제초제,Glufosinate-ammonium
프로파몬,🟡,🟡,제초제,Propanil+Triafamone
프로파티,🟡,🟡,호흡저해,Fluazinam
프로팡,🟢,🟡,신호전달(페닐피롤·디카르복시미드),Procymidone
프리싹,🟡,🟡,제초제,Bensulfuron-methyl+Fenquinotrione+Tetflupyrolimet
플럭소,🟡,🟡,제초제,Flucetosulfuron
플오니플러스,🟡,🟡,제초제,Glyphosate-isopropylammonium
피가탄·이티,🟡,🟡,제초제,Azimsulfuron+Oxaziclomefone+Tefuryltrione
피다벤·이티,🟡,🟡,제초제,Benzobicyclon+Fentrazamide+Penoxsulam
피쓰리,🟡,🟡,제초제,Pretilachlor+Pyraclonil
피아웃,🟡,🟡,제초제,Propanil+Pyriminobac-methyl
피어나,🟢,🟡,신호전달(페닐피롤·디카르복시미드),Fludioxonil+Iprodione
피에끝,🟡,🟡,제초제,Cyhalofop-butyl
피에스타,🟡,🟡,제초제,Cyhalofop-butyl+Propanil
피자바,🟡,🟡,제초제,Metamifop
피제로,🟡,🟡,제초제,Metamifop
피짱,🟡,🟡,제초제,Metazosulfuron+Tetflupyrolimet
픽데이,🟡,🟡,호흡저해,Fluazinam
필드왕,🟡,🟡,제초제,Carfentrazone-ethyl+Imazosulfuron+Pyriminobac-methyl
필사초,🟡,🟡,제초제,Azimsulfuron+Penoxsulam+Simetryn
필사충,🟡,🟡,살선충제,Ethoprophos
필살기,🟡,🟡,제초제,Dimethametryn+Metazosulfuron
필수로,🟢,🟡,페닐아마이드,Benalaxyl-M
하나처,🟡,🟡,제초제,Bensulfuron-methyl+Mesotrione+Pretilachlor+Pyriftalid
하늘아래,🟡,🟡,제초제,Fluroxypyr-meptyl+Triclopyr-TEA
하늘천,🟡,🟡,제초제,Mesotrione+Penoxsulam+Pretilachlor
하모니,🟡,🟡,제초제,Thifensulfuron-methyl
하이로드,🟡,🟡,제초제,Glyphosate-monoammonium
하이메타실,🟢,🟡,페닐아마이드,Metalaxyl
하이바리신,🟡,🟡,발리다마이신,Validamycin A
하이벤타존,🟡,🟡,제초제,Bentazone
하이스타플러스,🟡,🟡,제초제,Glufosinate-ammonium
하이캡탄,🟡,🟡,다점접촉(캡탄),Captan
하이타로닐,🟡,🟡,다점접촉(클로로탈로닐),Chlorothalonil
하이트리졸,🟢,🟡,멜라닌합성저해,Tricyclazole
하이펀치,🟡,🟡,제초제,Glyphosate-monoammonium
한누내,🟡,🟡,발리다마이신,Validamycin A
한들,🟡,🟡,제초제,Butachlor+Pyrazosulfuron-ethyl
한목,🟡,🟡,제초제,Prodiamine
한버네,🟡,🟡,제초제,Ipfencarbazone+Tefuryltrione
한사리,🟡,🟡,제초제,Linuron
한손,🟡,🟡,제초제,Benfuresate+Bifenox
한수위,🟡,🟡,제초제,Fentrazamide+Pyrimisulfan
한스타,🟡,🟡,제초제,Oxadiazon
한우물,🟡,🟡,발리다마이신,Validamycin A
한칼,🟢,🟡,멜라닌합성저해,Tricyclazole+Dinotefuran
한판,🟡,🟡,제초제,Benzobicyclon+Propyrisulfuron
핫스타,🟡,🟡,제초제,Glufosinate-ammonium
해가든,🟢,🟡,페닐아마이드,Metalaxyl
해도지,🟡,🟡,제초제,Oxadiazon+Pendimethalin
해법,🟡,🟡,다점접촉(클로로탈로닐),Chlorothalonil
핵주먹,🟡,🟡,제초제,Bensulfuron-methyl+Carfentrazone-ethyl+Penoxsulam
허리케인,🟢,🟡,QiI(난균),Cyazofamid
허바허바,🟡,🟡,제초제,Flucetosulfuron+Imazosulfuron
헬리포트,🟡,🟡,제초제,Glyphosate-monoammonium
호크아이,🟡,🟡,살선충제,Fosthiazate
혹안나,🟡,🟡,미분류(살균제·보수),Flusulfamide
혹안나골드,🟡,🟡,미분류(살균제·보수),Flusulfamide
혹안나프로,🟡,🟡,미분류(살균제·보수),Flusulfamide+Probenazole
혹제로골드,🟡,🟡,호흡저해,Chlorothalonil+Fluazinam
혹충탄,🟡,🟡,호흡저해,Fluazinam+Acetamiprid
화끄네,🟡,🟡,제초제,Benzobicyclon+Imazosulfuron+Oxaziclomefone
화본킬,🟡,🟡,제초제,Fenoxaprop-P-ethyl
화이트볼,🟡,🟡,제초제,Oxaziclomefone+Tefuryltrione
확타,🟡,🟡,제초제,Fluthiacet-methyl+Glufosinate-ammonium
황금들,🟡,🟡,제초제,Bensulfuron-methyl+Benzobicyclon+Pyriminobac-methyl
황금마패,🟡,🟡,제초제,Dimethametryn+Halosulfuron-methyl+Pyriminobac-methyl
황금볼점보,🟡,🟡,제초제,Benzobicyclon+Flucetosulfuron
황금쉴드,🟡,🟡,다점접촉(클로로탈로닐),Captan+Chlorothalonil
황금열쇠,🟡,🟡,제초제,Benzobicyclon+Pyrazosulfuron-ethyl+Pyriminobac-methyl
황금충점보,🟡,🟡,제초제,Clothianidin+Benzobicyclon+Flucetosulfuron
황손,🟡,🟡,제초제,Azimsulfuron+Bromobutide+Penoxsulam
황스타,🟡,🟡,제초제,Glufosinate-ammonium
황영웅,🟡,🟡,무기황,Sulfur+Buprofezin
효자촌,🟢,🟡,신호전달(페닐피롤·디카르복시미드),Fludioxonil
후련타,🟡,🟡,제초제,Benzobicyclon+Imazosulfuron+Tetflupyrolimet
후론골드,🟡,🟡,호흡저해,Fluazinam
후론사이드,🟡,🟡,호흡저해,Fluazinam
후론사이드플러스,🟡,🟡,호흡저해,Fluazinam
후론스타,🟡,🟡,호흡저해,Fluazinam
후론시티,🟡,🟡,호흡저해,Fluazinam
훼낙스,🟡,🟡,제초제,Oxadiargyl
휘파람,🟡,🟡,발리다마이신,Ferimzone+Validamycin A
힘쓰리,🟡,🟡,제초제,Benfuresate+MCPA+Pyriminobac-methyl
가네마이트,🟢,🟢,살충제(비표적),Acequinocyl
가드키,🟢,🟢,살충제(비표적),Acetamiprid
가루사이드,🟢,🟢,살충제(비표적),Pyriproxyfen
가루스타,🟢,🟢,살충제(비표적),Pyridaben
가수나방방,🟢,🟢,살충제(비표적),Metaflumizone
가시리,🟢,🟢,살충제(비표적),Acetamiprid+Metaflumizone
가이던스,🟢,🟢,살충제(비표적),Emamectin benzoate+Lufenuron
가제트,🟢,🟢,살충제(비표적),Carbosulfan
강심장,🟢,🟢,살충제(비표적),Cypermethrin
강써브,🟢,🟢,살충제(비표적),Bifenthrin
강자존,🟢,🟢,살충제(비표적),Alpha-cypermethrin+Chlorfenapyr
강철비,🟢,🟢,살충제(비표적),Chlorantraniliprole+Emamectin benzoate
강충탄,🟢,🟢,살충제(비표적),Flonicamid
