상표명,세균제위험,곰팡이제위험,계열,일반명
동부훼나리,🟡,🔴,트리아졸·이미다졸(DMI),Fenarimol
동시애,🔴,🔴,항생제계(세균표적),Oxytetracycline dihydrate+Pyraclostrobin
동시한방,🟢,🔴,스트로빌루린(QoI),Azoxystrobin+Carbosulfan+Chlorantraniliprole
두루두루,🟢,🔴,스트로빌루린(QoI),Azoxystrobin
두아졸,🟡,🔴,트리아졸·이미다졸(DMI),Prochloraz+Tebuconazole
드림하트,🟡,🔴,스트로빌루린(QoI),Kresoxim-methyl+Triflumizole
들판,🟢,🔴,스트로빌루린(QoI),Azoxystrobin+Tricyclazole
듬지칸,🟡,🔴,트리아졸·이미다졸(DMI),Fluquinconazole+Trifloxystrobin
디렉터,🟡,🔴,트리아졸·이미다졸(DMI),Metconazole
디모스,🟢,🔴,벤지미다졸(MBC),Thiophanate-methyl
디스피어,🟡,🔴,스트로빌루린(QoI),Azoxystrobin+Propiconazole
디펜더,🟡,🔴,트리아졸·이미다졸(DMI),Simeconazole
땅고수,🔴,🔴,토양훈증,Dazomet
땅병스타,🟡,🔴,SDHI,Flusulfamide+Flutolanil
라보트,🟢,🔴,스트로빌루린(QoI),Azoxystrobin+Dimethomorph
라스트콜,🟢,🔴,항진균항생제,Polyoxin D
라이센스,🟡,🔴,SDHI,Boscalid+Pyraclostrobin
라인맨,🟢,🔴,스트로빌루린(QoI),Pyraclostrobin
라체스,🟡,🔴,스트로빌루린(QoI),Propineb+Trifloxystrobin
람보,🟢,🔴,항진균항생제,Polyoxin D+Thiophanate-methyl
랜스터,🟡,🔴,트리아졸·이미다졸(DMI),Propiconazole
런닝맨,🟢,🔴,스트로빌루린(QoI),Pyraclostrobin
레빅사,🟡,🔴,트리아졸·이미다졸(DMI),Mefentrifluconazole
레일건,🟡,🔴,트리아졸·이미다졸(DMI),Fludioxonil+Hexaconazole
렉스코드,🔴,🟡,항생제계(세균표적),Oxytetracycline dihydrate
렌비어,🟡,🔴,트리아졸·이미다졸(DMI),Mefentrifluconazole
로보캡,🟢,🔴,벤지미다졸(MBC),Carbendazim+Metalaxyl
로브곤,🟡,🔴,트리아졸·이미다졸(DMI),Iprodione+Prochloraz-manganese
로열티,🟢,🔴,스트로빌루린(QoI),Trifloxystrobin
로티플,🟡,🔴,트리아졸·이미다졸(DMI),Difenoconazole
롱테이크,🟡,🔴,트리아졸·이미다졸(DMI),Propiconazole+Tebuconazole
루시,🟡,🔴,스트로빌루린(QoI),Azoxystrobin+Propiconazole
르네상스,🟡,🔴,트리아졸·이미다졸(DMI),Difenoconazole+Tebuconazole
리나운,🟡,🔴,스트로빌루린(QoI),Azoxystrobin+Chlorothalonil
리도다다센,🟡,🔴,디티오카바메이트,Mancozeb+Metalaxyl
리도밀골드 플러스,🔴,🔴,동제(구리),Copper oxychloride+Metalaxyl-M
리도밀골드플러스,🔴,🔴,동제(구리),Copper oxychloride+Metalaxyl-M
리도밀동,🔴,🔴,동제(구리),Copper oxychloride+Metalaxyl
리도밀동골드,🔴,🔴,동제(구리),Copper oxychloride+Metalaxyl-M
리도밀엠지,🟡,🔴,디티오카바메이트,Mancozeb+Metalaxyl
리도참골드,🟢,🔴,벤지미다졸(MBC),Carbendazim+Metalaxyl-M
리버티,🟡,🔴,트리아졸·이미다졸(DMI),Bitertanol
